Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2023-900424,40038824096,01/05/2023 4:15:00 PM,01/05/2023 11:00:00 PM,01/07/2023 11:53:28 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,N,N3,NORTHGATE,21XX BLOCK OF N 106TH ST,-122.3332747,47.70593856
2023-900425,40038837851,12/15/2022 10:20:00 PM,12/15/2022 10:20:00 PM,01/07/2023 11:53:32 AM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,L,L2,NORTHGATE,12XX BLOCK OF NE 97TH ST,-122.3135333,47.69944271
2023-900426,40038847242,01/06/2023 1:30:00 AM,01/06/2023 1:30:00 PM,01/07/2023 11:53:37 AM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,B,B2,BALLARD SOUTH,6XX BLOCK OF NW 52ND ST,-122.3647371,47.66643532
2023-900427,40040284106,01/06/2023 4:30:00 PM,01/06/2023 4:30:00 PM,01/07/2023 12:03:26 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,D,D3,SLU/CASCADE,2XX BLOCK OF YALE AVE N,-122.3304204,47.62024434
2023-900429,40040316793,01/04/2023 4:40:00 PM,01/04/2023 7:10:00 PM,01/07/2023 12:03:42 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,G,G3,JUDKINS PARK/NORTH BEACON HILL,POPLAR PL S / S DEAN ST,-122.3125648,47.59547243
2023-900430,40040334240,01/06/2023 3:00:00 PM,01/06/2023 4:15:00 PM,01/07/2023 12:03:48 PM,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,K,K1,DOWNTOWN COMMERCIAL,7XX BLOCK OF 1ST AVE,-122.3346078,47.60291195
2023-900431,40040352366,01/06/2023 9:00:00 AM,01/06/2023 11:30:00 AM,01/07/2023 12:03:54 PM,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,E,G,G2,CENTRAL AREA/SQUIRE PARK,5XX BLOCK OF 17TH AVE,-122.3102488,47.60622905
2023-900432,40040365299,12/27/2022 5:25:00 PM,01/03/2023 4:25:00 PM,01/07/2023 12:04:01 PM,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,L,L2,NORTHGATE,17XX BLOCK OF NE 92ND ST,-122.3081464,47.69576861
2023-005693,39925518984,01/04/2023 8:35:00 AM,01/04/2023 8:36:00 AM,01/07/2023 12:53:40 AM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,N,N3,NORTHGATE,103XX BLOCK OF ASHWORTH AVE N,-122.3392999,47.70413705
2023-007320,40745267215,01/07/2023 11:00:00 PM,01/16/2023 1:31:00 AM,01/08/2023 1:29:48 PM,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,E,E,E2,FIRST HILL,12XX BLOCK OF 15TH AVE,-122.3127936,47.61222961
